fecha,primera dosis,segunda dosis,única dosis,vacunación iniciada,vacunación completada,inmunización,3ª dosis,4ª dosis
2020-12-24,420,0,0,420,0,0,0,0
2020-12-25,5199,0,0,5199,0,0,0,0
2020-12-26,8339,0,0,8339,0,0,0,0
2020-12-27,8648,0,0,8648,0,0,0,0
2020-12-28,8648,0,0,8648,0,0,0,0
2020-12-29,8648,0,0,8648,0,0,0,0
2020-12-30,8648,0,0,8648,0,0,0,0
2020-12-31,8648,0,0,8648,0,0,0,0
2021-01-01,8648,0,0,8648,0,0,0,0
2021-01-02,8648,0,0,8648,0,0,0,0
2021-01-03,8648,0,0,8648,0,0,0,0
2021-01-04,9053,0,0,9053,0,0,0,0
2021-01-05,10496,0,0,10496,0,0,0,0
2021-01-06,10701,0,0,10701,0,0,0,0
2021-01-07,10701,0,0,10701,0,0,0,0
2021-01-08,10702,0,0,10702,0,0,0,0
2021-01-09,10702,0,0,10702,0,0,0,0
2021-01-10,10703,0,0,10703,0,0,0,0
2021-01-11,10703,0,0,10703,0,0,0,0
2021-01-12,10703,0,0,10703,0,0,0,0
2021-01-13,10704,1032,0,10704,1032,0,0,0
2021-01-14,12824,5829,0,12824,5829,0,0,0
2021-01-15,13780,8304,0,13780,8304,0,0,0
2021-01-16,13803,8371,0,13803,8371,0,0,0
2021-01-17,13803,8371,0,13803,8371,0,0,0
2021-01-18,24854,8371,0,24854,8371,0,0,0
2021-01-19,44220,8372,0,44220,8372,0,0,0
2021-01-20,53529,8372,0,53529,8372,0,0,0
2021-01-21,56585,8372,0,56585,8372,0,0,0
2021-01-22,56996,8376,0,56996,8376,0,0,0
2021-01-23,56996,8376,0,56996,8376,0,0,0
2021-01-24,56996,8376,0,56996,8376,0,0,0
2021-01-25,57013,9779,0,57013,9779,0,0,0
2021-01-26,57032,10374,0,57032,10374,0,0,0
2021-01-27,57033,10408,0,57033,10408,1032,0,0
2021-01-28,57033,10408,0,57033,10408,5829,0,0
2021-01-29,57033,10413,0,57033,10413,8304,0,0
2021-01-30,57034,10413,0,57034,10413,8371,0,0
2021-01-31,57034,10414,0,57034,10414,8371,0,0
2021-02-01,57035,10414,0,57035,10414,8371,0,0
2021-02-02,70225,10420,0,70225,10420,8372,0,0
2021-02-03,240615,10420,0,240615,10420,8372,0,0
2021-02-04,414672,12528,0,414672,12528,8372,0,0
2021-02-05,583518,13198,0,583518,13198,8376,0,0
2021-02-06,611373,13203,0,611373,13203,8376,0,0
2021-02-07,620012,13205,0,620012,13205,8376,0,0
2021-02-08,841532,24988,0,841532,24988,9779,0,0
